Macrotrends Data Download,,
,,
Bangalore, India Metro Area Population 1950-2021,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, Population, Annual Change
12/31/1950,746000,
12/31/1951,790000,5.9
12/31/1952,825000,4.43
12/31/1953,862000,4.48
12/31/1954,900000,4.41
12/31/1955,939000,4.33
12/31/1956,981000,4.47
12/31/1957,1024000,4.38
12/31/1958,1069000,4.39
12/31/1959,1117000,4.49
12/31/1960,1166000,4.39
12/31/1961,1213000,4.03
12/31/1962,1252000,3.22
12/31/1963,1292000,3.19
12/31/1964,1334000,3.25
12/31/1965,1377000,3.22
12/31/1966,1422000,3.27
12/31/1967,1468000,3.23
12/31/1968,1515000,3.2
12/31/1969,1564000,3.23
12/31/1970,1615000,3.26
12/31/1971,1678000,3.9
12/31/1972,1777000,5.9
12/31/1973,1882000,5.91
12/31/1974,1993000,5.9
12/31/1975,2111000,5.92
12/31/1976,2235000,5.87
12/31/1977,2367000,5.91
12/31/1978,2507000,5.91
12/31/1979,2655000,5.9
12/31/1980,2812000,5.91
12/31/1981,2956000,5.12
12/31/1982,3061000,3.55
12/31/1983,3169000,3.53
12/31/1984,3281000,3.53
12/31/1985,3397000,3.54
12/31/1986,3517000,3.53
12/31/1987,3642000,3.55
12/31/1988,3771000,3.54
12/31/1989,3904000,3.53
12/31/1990,4043000,3.56
12/31/1991,4182000,3.44
12/31/1992,4318000,3.25
12/31/1993,4459000,3.27
12/31/1994,4604000,3.25
12/31/1995,4754000,3.26
12/31/1996,4909000,3.26
12/31/1997,5069000,3.26
12/31/1998,5234000,3.26
12/31/1999,5405000,3.27
12/31/2000,5581000,3.26
12/31/2001,5779000,3.55
12/31/2002,6015000,4.08
12/31/2003,6262000,4.11
12/31/2004,6519000,4.1
12/31/2005,6786000,4.1
12/31/2006,7064000,4.1
12/31/2007,7354000,4.11
12/31/2008,7656000,4.11
12/31/2009,7969000,4.09
12/31/2010,8296000,4.1
12/31/2011,8636000,4.1
12/31/2012,8990000,4.1
12/31/2013,9358000,4.09
12/31/2014,9742000,4.1
12/31/2015,10141000,4.1
12/31/2016,10557000,4.1
12/31/2017,10990000,4.1
12/31/2018,11440000,4.09
12/31/2019,11883000,3.87
12/31/2020,12327000,3.74
12/31/2021,12765000,3.55
12/31/2022,13193000,3.35
12/31/2023,13608000,3.15
12/31/2024,14008000,2.94
12/31/2025,14395000,2.76
12/31/2026,14772000,2.62
12/31/2027,15140000,2.49
12/31/2028,15504000,2.4
12/31/2029,15865000,2.33
12/31/2030,16227000,2.28
12/31/2031,16590000,2.24
12/31/2032,16955000,2.2
12/31/2033,17323000,2.17
12/31/2034,17693000,2.14
12/31/2035,18066000,2.11
