system:index,All_pixels,Water_pixels,date,perc cloud,poly_area,time,.geo
20181218T052221_20181218T053013_T43PEP,12184600,5415300,2018-12-18,0.999991792986286,12184700,05-35-27,
20181223T052229_20181223T052554_T43PEP,2864200,1229500,2018-12-23,0.23506528679409422,12184700,05-35-31,
20181228T052221_20181228T052221_T43PEP,9212200,4412500,2018-12-28,0.7560465173537305,12184700,05-35-29,
20190102T052219_20190102T052400_T43PEP,12184300,5816100,2019-01-02,0.9999671719451443,12184700,05-35-33,
20190107T052211_20190107T053012_T43PEP,12184500,5920600,2019-01-07,0.9999835859725722,12184700,05-35-31,
20190117T052141_20190117T052141_T43PEP,12184600,6090800,2019-01-17,0.999991792986286,12184700,05-35-32,
20190122T052119_20190122T052703_T43PEP,12085900,6174200,2019-01-22,0.9918914704506471,12184700,05-35-36,
20190127T052101_20190127T052801_T43PEP,8969500,5172700,2019-01-27,0.7361280950700468,12184700,05-35-32,
20190201T052039_20190201T053112_T43PEP,9955900,5350300,2019-02-01,0.8170820783441529,12184700,05-35-36,
20190206T052011_20190206T052457_T43PEP,12057200,6334600,2019-02-06,0.9895360575147522,12184700,05-35-33,
20190211T051939_20190211T052909_T43PEP,7931400,4473300,2019-02-11,0.6509310857058442,12184700,05-35-36,
20190216T051901_20190216T052953_T43PEP,12184700,6415400,2019-02-16,1.0,12184700,05-35-32,
20190221T051839_20190221T053339_T43PEP,12184400,6398100,2019-02-21,0.9999753789588582,12184700,05-35-35,
20190226T051751_20190226T052941_T43PEP,12161600,6398700,2019-02-26,0.9981041798320845,12184700,05-35-31,
20190303T051729_20190303T052812_T43PEP,101800,79200,2019-03-03,0.008354739960770475,12184700,05-35-34,
20190308T051651_20190308T052854_T43PEP,12184500,6348400,2019-03-08,0.9999835859725722,12184700,05-35-30,
20190313T051649_20190313T053504_T43PEP,12184400,6254600,2019-03-13,0.9999753789588582,12184700,05-35-33,
20190318T051651_20190318T053305_T43PEP,12184500,5662600,2019-03-18,0.9999835859725722,12184700,05-35-33,
20190323T051649_20190323T053456_T43PEP,12184700,5577000,2019-03-23,1.0,12184700,05-35-36,
20190328T051651_20190328T052823_T43PEP,12184500,5519000,2019-03-28,0.9999835859725722,12184700,05-35-35,
20190402T051659_20190402T052808_T43PEP,12184600,5481900,2019-04-02,0.999991792986286,12184700,05-35-38,
20190407T051651_20190407T053201_T43PEP,12152400,5404200,2019-04-07,0.9973491345704039,12184700,05-35-37,
20190412T051659_20190412T052853_T43PEP,12184000,5410600,2019-04-12,0.9999425509040025,12184700,05-35-40,
20190417T051651_20190417T052149_T43PEP,12183100,5385300,2019-04-17,0.9998686877805772,12184700,05-35-38,
20190422T051659_20190422T053203_T43PEP,12183000,5352200,2019-04-22,0.9998604807668634,12184700,05-35-42,
20190427T051651_20190427T052356_T43PEP,11664700,5120500,2019-04-27,0.9573235286876164,12184700,05-35-39,
20190502T051659_20190502T053341_T43PEP,11978500,5387800,2019-05-02,0.9830771377218971,12184700,05-35-43,
20190507T051651_20190507T053058_T43PEP,9363400,4126700,2019-05-07,0.7684555220891774,12184700,05-35-39,
20190512T051659_20190512T053509_T43PEP,12180500,5427400,2019-05-12,0.9996553054240154,12184700,05-35-44,
20190517T051651_20190517T052226_T43PEP,7180000,2877000,2019-05-17,0.58926358465945,12184700,05-35-39,
20190522T051659_20190522T052814_T43PEP,12164500,5518700,2019-05-22,0.9983421832297882,12184700,05-35-44,
20190527T051651_20190527T053014_T43PEP,12158600,5351900,2019-05-27,0.997857969420667,12184700,05-35-39,
